,AMERICAN PLAICE,COD(ATLANTIC),HADDOCK,HERRING(ATLANTIC),REDFISH (UNSEPARATED),SPINY DOGFISH,WITCH FLOUNDER,"TURBOT,GREENLAND HALIBUT",YELLOWTAIL FLOUNDER
1994,0.003409515,5.87E-04,0.184518828,1.07E+00,1.06E-01,1.72E-01,7.47E-02,1.96E+00,1.18E-01
1995,0.003446822,2.92E-04,0.115010142,9.40E-01,3.00E-02,1.22E-01,6.53E-02,1.00E-01,3.00E-03
1996,0.004710109,2.38E-03,0.07521059,7.40E-01,5.00E-03,1.22E-01,7.40E-02,5.00E-02,6.00E-03
1997,0.004858375,1.94E-03,0.144469027,6.50E-01,6.00E-03,2.22E-01,8.58E-02,6.00E-02,1.20E-02
1998,0.004251351,7.70E-04,0.180229885,1.17E+00,7.00E-03,1.54E-01,1.00E-01,4.10E-01,6.30E-02
1999,0.002552832,8.69E-04,0.117375887,8.90E-01,1.50E-02,1.32E-01,1.16E-01,2.30E-01,8.40E-02
2000,0.002018487,2.28E-03,0.115614618,1.33E+00,1.80E-02,8.69E-02,1.27E-01,5.60E-01,1.22E-01
2001,0.002018487,3.53E-03,0.099180328,1.08E+00,8.00E-03,9.18E-02,8.17E-02,5.00E-01,1.47E-01
2002,0.002018487,2.38E-03,0.121580547,1.67E+00,6.00E-03,7.28E-02,1.14E-01,4.90E-01,1.07E-01
2003,0.002018487,2.38E-03,0.128276878,2.06E+00,6.00E-03,7.28E-02,1.07E-01,6.00E-01,1.33E-01
2004,0.002018487,2.38E-03,0.162531017,2.46E+00,3.00E-03,7.28E-02,1.10E-01,3.00E-02,1.26E-01
2005,0.002018487,2.38E-03,0.129425287,1.21E+00,3.00E-03,7.28E-02,1.33E-01,2.20E-01,1.30E-01
2006,0.002018487,2.38E-03,0.10193133,1.21E+00,2.00E-03,7.28E-02,1.70E-01,2.70E-01,8.00E-03
2007,0.002018487,2.38E-03,0.125547445,1.21E+00,7.00E-03,7.28E-02,1.42E-01,3.50E-01,3.80E-02
2008,0.002018487,2.38E-03,0.124018476,1.21E+00,7.00E-03,7.28E-02,1.34E-01,4.00E-01,1.26E-01
2009,0.002018487,2.38E-03,0.090460526,1.21E+00,7.00E-03,7.28E-02,1.25E-01,6.20E-01,1.26E-01
2010,0.002018487,2.38E-03,0.124395604,1.21E+00,7.00E-03,7.28E-02,4.94E-02,4.40E-01,1.26E-01
2011,0.002018487,2.38E-03,0.077870564,1.21E+00,7.00E-03,7.28E-02,8.93E-02,4.30E-01,1.26E-01
2012,0.002018487,2.38E-03,0.142413793,1.21E+00,7.00E-03,7.28E-02,8.93E-02,1.60E-01,1.26E-01
2013,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,1.10E-01,1.26E-01
2014,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,8.00E-02,1.26E-01
2015,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2016,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2017,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2018,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2019,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2020,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2021,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2022,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2023,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2024,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2025,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2026,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2027,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2028,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2029,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2030,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2031,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2032,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2033,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2034,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2035,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2036,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2037,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2038,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2039,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2040,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2041,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2042,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2043,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2044,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2045,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2046,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2047,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2048,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2049,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2050,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2051,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2052,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2053,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2054,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2055,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2056,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2057,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2058,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2059,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2060,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2061,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2062,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2063,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2064,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2065,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2066,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2067,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2068,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2069,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2070,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2071,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2072,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2073,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2074,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2075,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2076,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2077,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2078,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2079,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2080,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2081,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2082,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2083,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2084,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2085,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2086,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2087,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2088,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2089,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2090,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2091,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2092,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2093,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2094,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2095,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2096,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2097,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2098,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2099,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
2100,0.002018487,2.38E-03,0.096174863,1.21E+00,7.00E-03,7.28E-02,8.93E-02,9.00E-02,1.26E-01
